date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:35	13768/13768	---M--	200	added ('OK')	font/woff2	etag:%22625523f8-35c8%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.woff2	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.woff2	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:36	17380/17380	---M--	200	added ('OK')	font/woff	etag:%22625523fa-43e4%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.woff	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.woff	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:37	34080/34080	---M-Z	200	added ('OK')	application/x-font-ttf	etag:W/%22625523f8-8520%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.ttf	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.ttf	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:38	61529/61529	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22625523fa-f059%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.svg	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-ext-700italic.svg	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:39	25186/25186	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22625523f9-6262%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.eot	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.eot	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:40	25186/25186	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22625523f9-6262%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.eot?	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300d41d.eot	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:41	21360/21360	---M--	200	added ('OK')	font/woff2	etag:%22625523f9-5370%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.woff2	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.woff2	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:42	26420/26420	---M--	200	added ('OK')	font/woff	etag:%22625523f9-6734%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.woff	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.woff	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:43	58524/58524	---M-Z	200	added ('OK')	application/x-font-ttf	etag:W/%22625523fa-e49c%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.ttf	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.ttf	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:44	60850/60850	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22625523f8-edb2%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.svg	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300.svg	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
19:32:45	16121/16121	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22625523f8-3ef9%22	https://www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.eot	/home/slaifan/workspace/uni/honours/components/local-servers/quic-local/server/src/website/www.ed.ac.uk/sites/all/themes/uoe/assets/fonts/source-sans-pro-v10-cyrillic-300italic.eot	(from https://www.ed.ac.uk/sites/default/files/css/css_EC-YmYWXstXthGyOHp13nCiH7H5H3rQGxNRjCkaFvAw.css)
